Date,monkeypox,mpox,monkeypox_ spanish
2022-10-30,30,0,0
2022-11-06,22,0,0
2022-11-13,51,0,1
2022-11-20,0,1,0
2022-11-27,39,20,35
2022-12-04,55,0,2
2022-12-11,100,0,43
2022-12-18,69,84,29
2022-12-25,0,40,0
2023-01-01,24,33,51
2023-01-08,0,44,0
2023-01-15,47,71,28
2023-01-22,0,42,29
2023-01-29,92,40,0
2023-02-05,29,1,0
2023-02-12,2,66,0
2023-02-19,0,52,1
2023-02-26,0,3,0
2023-03-05,0,1,0
2023-03-12,1,31,1
2023-03-19,78,42,23
2023-03-26,0,2,42
2023-04-02,30,0,0
2023-04-09,43,0,3
2023-04-16,0,24,0
2023-04-23,0,0,32
2023-04-30,1,0,49
2023-05-07,25,67,0
2023-05-14,0,0,0
2023-05-21,3,2,1
2023-05-28,0,0,0
2023-06-04,0,0,0
2023-06-11,1,2,1
2023-06-18,1,70,38
2023-06-25,0,0,1
2023-07-02,0,1,0
2023-07-09,0,0,0
2023-07-16,0,3,1
2023-07-23,0,59,1
2023-07-30,0,0,0
2023-08-06,4,0,0
2023-08-13,1,47,0
2023-08-20,1,0,30
2023-08-27,1,0,0
2023-09-03,1,0,1
2023-09-10,1,2,0
2023-09-17,40,2,33
2023-09-24,0,1,1
2023-10-01,0,0,0
2023-10-08,1,0,31
2023-10-15,43,0,0
2023-10-22,0,0,37
2023-10-29,0,1,27
2023-11-05,1,0,32
2023-11-12,36,47,49
2023-11-19,0,0,0
2023-11-26,0,2,1
